,n_gram,freq,n
0,E,0.14504065172413794,1
1,S,0.07995438275862068,1
2,A,0.07620182068965517,1
3,N,0.0733188,1
4,I,0.07220618620689655,1
5,T,0.07126020689655173,1
6,R,0.06878163448275862,1
7,L,0.0587390724137931,1
8,U,0.05564724137931035,1
9,O,0.05401421379310345,1
10,D,0.040897641379310345,1
11,C,0.03394805172413793,1
12,P,0.02986414827586207,1
13,M,0.027865365517241378,1
15,V,0.012958813793103449,1
16,G,0.01186968275862069,1
17,F,0.011188624137931034,1
18,B,0.009652920689655172,1
19,H,0.00927508275862069,1
20,Q,0.008469406896551724,1
21,X,0.0043343172413793105,1
24,Y,0.003445613793103448,1
25,J,0.003000662068965517,1
26,K,0.0015777344827586207,1
28,Z,0.0010009137931034483,1
29,W,0.0007821586206896552,1
42,ES,0.028902941379310345,2
43,LE,0.02060665172413793,2
44,DE,0.020076958620689655,2
45,EN,0.019488127586206896,2
46,ON,0.01686933448275862,2
47,NT,0.016783041379310346,2
48,RE,0.016047055172413793,2
49,AN,0.012742096551724138,2
50,LA,0.01238776551724138,2
51,ER,0.012018579310344828,2
52,TE,0.011788758620689656,2
53,EL,0.01141334827586207,2
54,SE,0.010781324137931035,2
55,TI,0.010332455172413792,2
56,UR,0.009992137931034482,2
57,ET,0.009565220689655173,2
58,NE,0.009535155172413793,2
59,IS,0.009303524137931035,2
60,ED,0.009269762068965516,2
61,OU,0.009250444827586206,2
62,AR,0.008722558620689656,2
63,IN,0.008654762068965517,2
64,IT,0.0085576,2
65,ST,0.00851593448275862,2
66,QU,0.008357724137931035,2
67,NS,0.008101948275862069,2
68,AI,0.00804758275862069,2
69,ME,0.007881686206896553,2
70,RA,0.007844475862068965,2
71,IE,0.007554096551724138,2
72,EM,0.007472862068965518,2
73,CO,0.0074514241379310345,2
74,UE,0.0072552,2
75,TR,0.0072364827586206895,2
76,TA,0.007054806896551724,2
77,CE,0.006978520689655173,2
78,EC,0.006942165517241379,2
79,IL,0.0068894275862068964,2
80,EU,0.006865124137931035,2
81,UN,0.006667048275862069,2
82,SS,0.006612010344827586,2
83,ND,0.006514441379310345,2
84,RI,0.006386686206896552,2
85,AT,0.006317913793103448,2
86,SA,0.006262955172413793,2
87,IO,0.006178606896551724,2
88,AL,0.00615098275862069,2
89,PA,0.006074389655172414,2
90,SD,0.006067875862068965,2
91,AU,0.005955341379310345,2
92,EP,0.005848027586206897,2
93,SI,0.005787606896551724,2
94,SO,0.005784872413793104,2
95,OR,0.0057216241379310345,2
96,LI,0.005653165517241379,2
97,RO,0.005324289655172414,2
98,PO,0.005067572413793103,2
99,LL,0.005002889655172414,2
100,PR,0.004955255172413793,2
101,US,0.0048376137931034485,2
102,VE,0.004802103448275862,2
103,MA,0.004756493103448276,2
104,UI,0.0047507,2
105,NC,0.004584862068965518,2
106,NA,0.0044962862068965515,2
107,DU,0.004488951724137931,2
108,RS,0.004479575862068965,2
109,TD,0.004445510344827586,2
110,DA,0.004335,2
111,IR,0.004286558620689655,2
112,UT,0.004252106896551724,2
113,SP,0.004251744827586207,2
114,OM,0.004186548275862069,2
115,CH,0.004177527586206897,2
116,RT,0.00408101724137931,2
117,EA,0.00403018275862069,2
118,AC,0.003941762068965517,2
119,EE,0.003939648275862069,2
120,OI,0.003919255172413793,2
123,AS,0.0037883758620689653,2
124,PE,0.003786106896551724,2
125,TS,0.0037001758620689657,2
126,SU,0.0036700620689655173,2
127,SL,0.0036539827586206898,2
128,AP,0.003596689655172414,2
129,DI,0.0035517827586206896,2
130,NI,0.003467303448275862,2
131,LO,0.0034486,2
132,TL,0.003383579310344828,2
133,TO,0.003358113793103448,2
134,SC,0.0033412241379310345,2
136,RL,0.0032012344827586207,2
137,TU,0.003193948275862069,2
138,NO,0.0031470724137931034,2
139,NN,0.0031062206896551726,2
140,MI,0.003041089655172414,2
141,LU,0.0029951379310344827,2
142,AV,0.0029731241379310344,2
143,VI,0.0029592689655172414,2
144,RD,0.0029534793103448277,2
145,CA,0.0029112931034482757,2
146,IC,0.002897989655172414,2
147,PL,0.0028949275862068967,2
149,CI,0.002788410344827586,2
150,GE,0.0027289689655172413,2
151,AM,0.0026855,2
153,MO,0.0025754965517241378,2
156,MP,0.0024567586206896553,2
157,AG,0.0024420517241379312,2
158,IQ,0.0024383586206896553,2
159,CT,0.0024158206896551723,2
160,TT,0.002359841379310345,2
161,EF,0.0023536827586206894,2
162,UX,0.0022813344827586207,2
163,UL,0.0022777793103448277,2
164,OL,0.0022568413793103447,2
165,HA,0.0022407896551724137,2
167,VA,0.002132,2
168,FI,0.002090303448275862,2
169,HE,0.0020808206896551725,2
170,TP,0.002077862068965517,2
171,MM,0.0020014689655172414,2
173,DO,0.0019714793103448275,2
174,AD,0.0019486931034482758,2
175,EV,0.0019274103448275863,2
177,IV,0.0019194310344827585,2
178,UV,0.0019089896551724138,2
179,IM,0.0018793655172413793,2
180,BL,0.0018563689655172414,2
181,FO,0.001842755172413793,2
182,RM,0.0018409724137931035,2
183,EI,0.001823858620689655,2
184,OS,0.0018026793103448275,2
186,ID,0.0018014275862068966,2
187,IA,0.0017899103448275862,2
188,FA,0.0017677827586206896,2
190,UC,0.0017635413793103448,2
191,UP,0.0017579241379310346,2
192,AB,0.0017544241379310345,2
193,NG,0.0017474137931034483,2
194,GR,0.0017458034482758622,2
195,RC,0.0016958172413793103,2
196,RR,0.0016920310344827585,2
197,SM,0.0016254068965517242,2
198,RU,0.001591948275862069,2
199,TC,0.0015144586206896553,2
200,UD,0.0014782275862068965,2
201,BR,0.001478151724137931,2
202,IG,0.001476455172413793,2
204,NP,0.0014609068965517242,2
205,BA,0.0014588896551724138,2
206,VO,0.0014559551724137932,2
209,CL,0.0014102068965517241,2
210,OP,0.0014072965517241379,2
211,GA,0.001405796551724138,2
212,UM,0.0014054275862068965,2
213,HI,0.0014033137931034484,2
214,OC,0.001384751724137931,2
215,CU,0.0013796413793103449,2
216,SQ,0.0013348413793103449,2
217,EX,0.0013341137931034482,2
218,OT,0.0013296034482758621,2
219,MB,0.0013275965517241378,2
220,CR,0.0012924275862068965,2
221,RN,0.001281341379310345,2
222,IF,0.0012709206896551724,2
224,EQ,0.0012520896551724138,2
225,GI,0.0012477724137931034,2
226,LS,0.0012338103448275863,2
227,EB,0.0012306896551724138,2
230,NF,0.0012010137931034483,2
231,PI,0.001181955172413793,2
233,EG,0.0011755172413793103,2
234,PP,0.001171996551724138,2
235,SR,0.0011519310344827586,2
236,AF,0.0011461137931034482,2
237,FR,0.001141048275862069,2
